"Time (s)"	"Magnetic Field x (µT)"	"Magnetic Field y (µT)"	"Magnetic Field z (µT)"	"Absolute field (µT)"
1.218814957E0	8.508750610E2	3.286875000E2	1.612312622E2	9.262933456E2
1.228814957E0	8.505562744E2	3.284812622E2	1.612875061E2	9.259371335E2
1.238814853E0	8.505187988E2	3.283687744E2	1.610812531E2	9.258269003E2
1.248815425E0	8.505187988E2	3.282750244E2	1.611562500E2	9.258067054E2
1.258814800E0	8.504812622E2	3.284250183E2	1.612687531E2	9.258450090E2
1.268814853E0	8.504063110E2	3.284062500E2	1.613625031E2	9.257858372E2
1.278814957E0	8.505187988E2	3.286500244E2	1.612687531E2	9.259593276E2
1.288815113E0	8.505000610E2	3.286687622E2	1.610812531E2	9.259161297E2
1.298814957E0	8.506125488E2	3.286687622E2	1.610625000E2	9.260161944E2
1.308815009E0	8.507062988E2	3.287062683E2	1.608750000E2	9.260830326E2
1.318815009E0	8.507062988E2	3.288187561E2	1.610062561E2	9.261457746E2
1.328814957E0	8.509688110E2	3.290812683E2	1.609875031E2	9.264768614E2
1.338815009E0	8.508375244E2	3.291000061E2	1.608937531E2	9.263466450E2
1.348815061E0	8.510437622E2	3.291750183E2	1.609687500E2	9.265757478E2
1.358814957E0	8.511000366E2	3.290062561E2	1.611000061E2	9.265903091E2
1.368814957E0	8.513250122E2	3.289687500E2	1.612687531E2	9.268129939E2
1.378814853E0	8.513250122E2	3.289687500E2	1.612687531E2	9.268129939E2
1.388814957E0	8.512125244E2	3.291562500E2	1.612125092E2	9.267664602E2
1.398861780E0	8.511000366E2	3.290062561E2	1.613062592E2	9.266261912E2
1.408815009E0	8.509500122E2	3.289312744E2	1.612312622E2	9.264487177E2
1.418815061E0	8.511187744E2	3.287625122E2	1.612500000E2	9.265470955E2
1.428815478E0	8.510812988E2	3.286687622E2	1.610625000E2	9.264467936E2
1.438814905E0	8.511375122E2	3.287062683E2	1.610250092E2	9.265052235E2
1.448814853E0	8.506875610E2	3.286875000E2	1.611562500E2	9.261080585E2
1.458814853E0	8.508000488E2	3.287250061E2	1.613437500E2	9.262573392E2
1.468815061E0	8.510437622E2	3.288750000E2	1.612500000E2	9.265181128E2
1.478860009E0	8.511937866E2	3.288187561E2	1.612312622E2	9.266326978E2
1.488963186E0	8.511187744E2	3.287812500E2	1.611187592E2	9.265309132E2
1.498814957E0	8.510625610E2	3.289125061E2	1.611187592E2	9.265258626E2
1.508815009E0	8.510812988E2	3.292312622E2	1.611375122E2	9.266595378E2
1.518815009E0	8.511187744E2	3.293625183E2	1.610437622E2	9.267243010E2
1.528815009E0	8.513812866E2	3.296437683E2	1.609500122E2	9.270490902E2
1.538814853E0	8.511937866E2	3.296812744E2	1.607625122E2	9.268576970E2
1.548814905E0	8.511563110E2	3.297000122E2	1.608937531E2	9.268527195E2
1.558814905E0	8.512687988E2	3.298875122E2	1.607437592E2	9.269967069E2
1.568815009E0	8.515125122E2	3.299062500E2	1.609312592E2	9.272597060E2
1.578814905E0	8.517188110E2	3.298500061E2	1.607437592E2	9.273966334E2
1.588814957E0	8.517188110E2	3.296062622E2	1.605187531E2	9.272709913E2
1.598814957E0	8.515500488E2	3.293812561E2	1.605375061E2	9.270392594E2
1.608815009E0	8.515875244E2	3.294750061E2	1.603500061E2	9.270745471E2
1.618814905E0	8.515875244E2	3.294750061E2	1.603125000E2	9.270680606E2
1.628948863E0	8.515687866E2	3.294000244E2	1.603500061E2	9.270306893E2
1.638814905E0	8.514187622E2	3.293250122E2	1.602375031E2	9.268467671E2
1.648815009E0	8.513250122E2	3.293812561E2	1.602375031E2	9.267806351E2
1.658814957E0	8.511750488E2	3.292312622E2	1.605000000E2	9.266350078E2
1.668815061E0	8.512125244E2	3.292687683E2	1.608000031E2	9.267347649E2
1.678815009E0	8.514187622E2	3.292500000E2	1.608750000E2	9.269305458E2
1.688814905E0	8.515313110E2	3.290437622E2	1.611187592E2	9.270030343E2
1.698816363E0	8.515500488E2	3.288187561E2	1.613812561E2	9.269860678E2
1.708815009E0	8.515125122E2	3.287437744E2	1.613250122E2	9.269151996E2
1.718814905E0	8.513812866E2	3.289500122E2	1.614937592E2	9.268972111E2
1.728814905E0	8.514000244E2	3.287625122E2	1.614375000E2	9.268380967E2
1.738814800E0	8.513062744E2	3.291562500E2	1.613437500E2	9.268754045E2
1.748814905E0	8.511563110E2	3.294750061E2	1.611562500E2	9.268183114E2
1.758814957E0	8.510812988E2	3.297937622E2	1.613062592E2	9.268888887E2
1.768814957E0	8.508750610E2	3.295687561E2	1.612125092E2	9.266031554E2
1.778814957E0	8.509312744E2	3.298500061E2	1.609875031E2	9.267157258E2
1.788815061E0	8.507625122E2	3.297000122E2	1.611375122E2	9.265334576E2
1.798814957E0	8.507437744E2	3.297000122E2	1.612500000E2	9.265358224E2
1.808815009E0	8.507250366E2	3.299062500E2	1.613625031E2	9.266116118E2
1.818815009E0	8.508750610E2	3.297187500E2	1.614750061E2	9.267022182E2
1.828815009E0	8.509688110E2	3.293250122E2	1.614750061E2	9.266482928E2
1.838815009E0	8.509875488E2	3.289687500E2	1.613250122E2	9.265128204E2
1.848815009E0	8.511750488E2	3.291750183E2	1.612500000E2	9.267452287E2
1.858814905E0	8.512687988E2	3.293250122E2	1.613625031E2	9.269041962E2
1.868815061E0	8.514187622E2	3.293812561E2	1.614937592E2	9.270847614E2
1.878814800E0	8.517937622E2	3.291562500E2	1.611562500E2	9.272905624E2
1.888814957E0	8.518875122E2	3.291750183E2	1.611000061E2	9.273735699E2
1.898814905E0	8.519437866E2	3.292125244E2	1.611187592E2	9.274418345E2
1.908815061E0	8.518500366E2	3.293812561E2	1.612312622E2	9.274351819E2
1.918814905E0	8.519625244E2	3.295312500E2	1.613437500E2	9.276113375E2
1.928815113E0	8.519625244E2	3.295500183E2	1.613062592E2	9.276114848E2
1.938815061E0	8.518500366E2	3.293062744E2	1.613062592E2	9.274215959E2
1.948815165E0	8.517937622E2	3.294375000E2	1.613625031E2	9.274262974E2
1.958814905E0	8.513625488E2	3.296250000E2	1.615875092E2	9.271361029E2
1.968814957E0	8.512312622E2	3.293812561E2	1.615125122E2	9.269158350E2
1.978815009E0	8.510437622E2	3.292125244E2	1.614000092E2	9.266640893E2
1.988815009E0	8.511750488E2	3.290625000E2	1.613625031E2	9.267248513E2
1.998814905E0	8.508000488E2	3.291375122E2	1.613437500E2	9.264038162E2
2.008815061E0	8.510250244E2	3.290437622E2	1.615500031E2	9.266130763E2
2.018814957E0	8.511187744E2	3.291187744E2	1.616250000E2	9.267388934E2
2.028819853E0	8.513625488E2	3.290437622E2	1.612312622E2	9.268675779E2
2.038814905E0	8.514750366E2	3.289312744E2	1.610437622E2	9.268983842E2
2.048814905E0	8.517000122E2	3.292500000E2	1.610812531E2	9.272246995E2
2.058815009E0	8.520187988E2	3.294187622E2	1.611750031E2	9.275937344E2
2.068840009E0	8.522437744E2	3.295500183E2	1.612500000E2	9.278600261E2
2.078815061E0	8.524125366E2	3.295312500E2	1.612687531E2	9.280116314E2
2.088815061E0	8.522437744E2	3.294937744E2	1.613812561E2	9.278628715E2
2.098814905E0	8.522625122E2	3.294750061E2	1.614375000E2	9.278832016E2
2.108815113E0	8.520562744E2	3.293812561E2	1.617937622E2	9.277225491E2
2.118815009E0	8.521875610E2	3.295312500E2	1.620375061E2	9.279389189E2
2.128815009E0	8.521312866E2	3.295312500E2	1.621687622E2	9.279101690E2
2.138815009E0	8.520562744E2	3.294187622E2	1.620937500E2	9.277882299E2
2.148814957E0	8.518312988E2	3.294187622E2	1.621687622E2	9.275947337E2
2.158815009E0	8.518875122E2	3.295125122E2	1.621312561E2	9.276730962E2
2.168815009E0	8.519250488E2	3.297937622E2	1.620187531E2	9.277878479E2
2.178815009E0	8.519625244E2	3.298500061E2	1.618500061E2	9.278128012E2
2.188815061E0	8.520000610E2	3.300375061E2	1.618125000E2	9.279074009E2
2.198815061E0	8.518687744E2	3.298687744E2	1.618125000E2	9.277268468E2
2.208815061E0	8.517750244E2	3.298687744E2	1.618687592E2	9.276505785E2
2.218815009E0	8.517937622E2	3.298125000E2	1.618875122E2	9.276510471E2
2.228815009E0	8.518875122E2	3.298125000E2	1.619250031E2	9.277436743E2
2.238814957E0	8.520000610E2	3.297937622E2	1.618875122E2	9.278338193E2
2.248814957E0	8.518500366E2	3.296625061E2	1.616625061E2	9.276101653E2
2.258814853E0	8.518312988E2	3.296250000E2	1.618500061E2	9.276123257E2
2.268814853E0	8.517937622E2	3.295500183E2	1.617937622E2	9.275414004E2
2.278814853E0	8.519063110E2	3.295125122E2	1.618500061E2	9.276412469E2
2.288814957E0	8.518312988E2	3.295312500E2	1.615125122E2	9.275201874E2
2.298815009E0	8.518312988E2	3.296062622E2	1.616625061E2	9.275729705E2
2.308815009E0	8.517937622E2	3.295875244E2	1.614937592E2	9.275024441E2
2.318815061E0	8.517188110E2	3.295125122E2	1.614375000E2	9.273971615E2
2.328815061E0	8.517750244E2	3.294000244E2	1.617750092E2	9.274676393E2
2.338814957E0	8.517188110E2	3.293062744E2	1.617000122E2	9.273696401E2
2.348815061E0	8.518875122E2	3.294375000E2	1.617562561E2	9.275809864E2
2.358815061E0	8.520375366E2	3.296250000E2	1.616812592E2	9.277722964E2
2.368814957E0	8.520375366E2	3.294375000E2	1.617937622E2	9.277253105E2
2.378814957E0	8.520938110E2	3.294187622E2	1.617375031E2	9.277605314E2
